algorithm,n,time_ns,allocations,max_depth,distance_checks
ClosestPair2D,1,3212100,1,0,0
ClosestPair2D,1,5200,1,0,0
ClosestPair2D,1,2800,1,0,0
ClosestPair2D,1,2400,1,0,0
ClosestPair2D,1,2200,1,0,0
ClosestPair2D,1,7800,1,0,0
ClosestPair2D,1,2100,1,0,0
ClosestPair2D,1,1900,1,0,0
ClosestPair2D,1,1800,1,0,0
ClosestPair2D,1,1800,1,0,0
ClosestPair2D,10,237000,1,2,12
ClosestPair2D,10,32000,1,2,9
ClosestPair2D,10,40700,1,2,10
ClosestPair2D,10,30600,1,2,10
ClosestPair2D,10,32700,1,2,12
ClosestPair2D,10,37300,1,2,10
ClosestPair2D,10,31100,1,2,11
ClosestPair2D,10,29600,1,2,9
ClosestPair2D,10,74700,1,2,11
ClosestPair2D,10,65800,1,2,9
ClosestPair2D,100,352900,1,6,122
ClosestPair2D,100,314700,1,6,121
ClosestPair2D,100,291600,1,6,136
ClosestPair2D,100,280300,1,6,132
ClosestPair2D,100,360200,1,6,124
ClosestPair2D,100,328100,1,6,131
ClosestPair2D,100,180500,1,6,132
ClosestPair2D,100,170900,1,6,134
ClosestPair2D,100,191600,1,6,120
ClosestPair2D,100,247500,1,6,128
ClosestPair2D,1000,1366000,1,9,1115
ClosestPair2D,1000,1180600,1,9,1147
ClosestPair2D,1000,863300,1,9,1125
ClosestPair2D,1000,713600,1,9,1098
ClosestPair2D,1000,1013000,1,9,1113
ClosestPair2D,1000,1055200,1,9,1142
ClosestPair2D,1000,1069000,1,9,1140
ClosestPair2D,1000,936500,1,9,1127
ClosestPair2D,1000,989100,1,9,1146
ClosestPair2D,1000,857300,1,9,1131
ClosestPair2D,10000,7817400,1,12,12908
ClosestPair2D,10000,7677300,1,12,12910
ClosestPair2D,10000,6971000,1,12,13053
ClosestPair2D,10000,6647900,1,12,13024
ClosestPair2D,10000,7305300,1,12,12990
ClosestPair2D,10000,12922400,1,12,12974
ClosestPair2D,10000,23736400,1,12,12968
ClosestPair2D,10000,15034300,1,12,13009
ClosestPair2D,10000,14546100,1,12,13080
ClosestPair2D,10000,12924800,1,12,12894
