algo,n,comparisons,swaps,writes,allocations,depth,ms
mergesort,1000,10403,3658,11530,1000,6,1
quicksort,1000,11395,6111,11651,0,5,1
select(k),1000,8021,5627,12577,0,6,1
mergesort,5000,59115,11067,65043,5000,9,2
quicksort,5000,76367,37708,71924,0,5,1
select(k),5000,47049,32658,73771,0,9,1
mergesort,10000,128095,22097,140049,10000,10,2
quicksort,10000,163686,89545,172724,0,6,2
select(k),10000,97626,67821,153713,0,10,2
mergesort,20000,276618,44376,300280,20000,11,10
quicksort,20000,363387,169290,324996,0,7,7
select(k),20000,192371,132452,302798,0,11,4
