algorithm,n,time_ns,comparisons,allocations,max_depth,swaps,partitions
QuickSort,1,1265900,0,0,0,0,0
QuickSort,1,900,0,0,0,0,0
QuickSort,1,600,0,0,0,0,0
QuickSort,1,500,0,0,0,0,0
QuickSort,1,500,0,0,0,0,0
QuickSort,1,500,0,0,0,0,0
QuickSort,1,500,0,0,0,0,0
QuickSort,1,600,0,0,0,0,0
QuickSort,1,500,0,0,0,0,0
QuickSort,1,600,0,0,0,0,0
QuickSort,10,28000,26,0,0,0,0
QuickSort,10,2600,31,0,0,0,0
QuickSort,10,2000,26,0,0,0,0
QuickSort,10,2100,24,0,0,0,0
QuickSort,10,2000,23,0,0,0,0
QuickSort,10,2000,29,0,0,0,0
QuickSort,10,1800,22,0,0,0,0
QuickSort,10,2300,34,0,0,0,0
QuickSort,10,9900,30,0,0,0,0
QuickSort,10,3900,25,0,0,0,0
QuickSort,100,101200,814,0,8,480,10
QuickSort,100,53000,732,0,7,421,11
QuickSort,100,48800,735,0,6,412,11
QuickSort,100,47100,720,0,7,420,12
QuickSort,100,45700,756,0,6,463,10
QuickSort,100,37500,810,0,8,510,10
QuickSort,100,56600,740,0,6,412,11
QuickSort,100,34600,778,0,8,460,8
QuickSort,100,30900,730,0,5,330,8
QuickSort,100,35900,755,0,7,504,11
QuickSort,1000,378000,11465,0,14,8435,109
QuickSort,1000,120200,12051,0,19,9247,116
QuickSort,1000,97700,12172,0,17,9295,118
QuickSort,1000,146100,12104,0,16,9183,113
QuickSort,1000,95200,10710,0,12,7844,112
QuickSort,1000,84600,11294,0,14,8249,113
QuickSort,1000,89400,12419,0,20,9502,110
QuickSort,1000,83300,11430,0,15,8276,103
QuickSort,1000,83100,11275,0,13,8207,103
QuickSort,1000,83200,11266,0,12,8072,102
QuickSort,10000,1157700,151221,0,20,121434,1091
QuickSort,10000,1349000,166623,0,22,137608,1135
QuickSort,10000,1994400,161566,0,23,132223,1111
QuickSort,10000,1375500,165067,0,25,135719,1139
QuickSort,10000,1571100,159902,0,24,130980,1140
QuickSort,10000,1265300,156515,0,23,126723,1098
QuickSort,10000,1179600,157123,0,21,127833,1123
QuickSort,10000,1593500,160702,0,24,131645,1122
QuickSort,10000,1837000,164914,0,25,135404,1130
QuickSort,10000,1844100,156591,0,22,127062,1123
