algorithm,n,time_ns,comparisons,allocations,partitions
Select(MoM5),1,904700,0,0,0
Select(MoM5),1,2400,0,0,0
Select(MoM5),1,1500,0,0,0
Select(MoM5),1,1400,0,0,0
Select(MoM5),1,1300,0,0,0
Select(MoM5),1,1100,0,0,0
Select(MoM5),1,1300,0,0,0
Select(MoM5),1,1300,0,0,0
Select(MoM5),1,1500,0,0,0
Select(MoM5),1,1300,0,0,0
Select(MoM5),1,1300,0,0,0
Select(MoM5),1,1100,0,0,0
Select(MoM5),1,1100,0,0,0
Select(MoM5),1,1200,0,0,0
Select(MoM5),1,1300,0,0,0
Select(MoM5),1,1100,0,0,0
Select(MoM5),1,1200,0,0,0
Select(MoM5),1,1200,0,0,0
Select(MoM5),1,1200,0,0,0
Select(MoM5),1,1500,0,0,0
Select(MoM5),1,1100,0,0,0
Select(MoM5),1,1800,0,0,0
Select(MoM5),1,1000,0,0,0
Select(MoM5),1,800,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,1100,0,0,0
Select(MoM5),1,1000,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,700,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,1000,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,1000,0,0,0
Select(MoM5),1,1000,0,0,0
Select(MoM5),1,2600,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,800,0,0,0
Select(MoM5),1,800,0,0,0
Select(MoM5),1,800,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,800,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,800,0,0,0
Select(MoM5),1,900,0,0,0
Select(MoM5),1,900,0,0,0
